"page_url"	"nid"	"page_title"	"antall_ansatte"
"/yrker/beskrivelse/apoteker"	"395728"	"Apoteker"	"5593"
"/yrker/beskrivelse/bronnoperator_havbunnsinstallasjoner"	"396101"	"Brønnoperatør havbunnsinstallasjoner"	"5555"
"/yrker/beskrivelse/tv-fotograf"	"396016"	"TV-fotograf"	"5411"
"/yrker/beskrivelse/fotograf"	"395803"	"Fotograf"	"5369"
"/yrker/beskrivelse/provisorfarmasoyt"	"395789"	"Provisorfarmasøyt"	"5261"
"/yrker/beskrivelse/bilberger"	"3962619"	"Bilberger"	"5102"
"/yrker/beskrivelse/planteinspektor"	"396131"	"Planteinspektør"	"5091"
"/yrker/beskrivelse/motormann"	"395911"	"Motormann"	"5085"
"/yrker/beskrivelse/agronom"	"395717"	"Agronom"	"5072"
"/yrker/beskrivelse/portor"	"395943"	"Portør"	"5040"
"/yrker/beskrivelse/feier"	"395790"	"Feier"	"4943"
"/yrker/beskrivelse/husokonom"	"395835"	"Husøkonom"	"4691"
"/yrker/beskrivelse/it-administrator"	"396244"	"IT-administrator"	"4667"
"/yrker/beskrivelse/trafikkbetjent_parkering"	"3962620"	"Trafikkbetjent (parkering)"	"4647"
"/yrker/beskrivelse/dansepedagog"	"395770"	"Dansepedagog"	"4590"
"/yrker/beskrivelse/arealplanlegger"	"3946681"	"Arealplanlegger"	"4432"
"/yrker/beskrivelse/politiker"	"395942"	"Politiker"	"4417"
"/yrker/beskrivelse/steinfagarbeider"	"396079"	"Steinfagarbeider"	"4345"
"/yrker/beskrivelse/filmfotograf"	"3978714"	"Filmfotograf "	"4296"
"/yrker/beskrivelse/tavlemontor"	"396005"	"Tavlemontør"	"4283"
"/yrker/beskrivelse/statsviter"	"395993"	"Statsviter"	"4272"
"/yrker/beskrivelse/diplomat"	"395775"	"Diplomat"	"4239"
"/yrker/beskrivelse/kystskipper"	"395881"	"Kystskipper"	"4238"
"/yrker/beskrivelse/kjottskjaerer"	"396031"	"Kjøttskjærer"	"4207"
"/yrker/beskrivelse/advokatsekretaer"	"395715"	"Advokatsekretær"	"4192"
"/yrker/beskrivelse/kirkeverge"	"396124"	"Kirkeverge"	"4028"
